Plate	Well	ID	medium	dilution_day	rep	tournament	tree	level	how_many	C_number	glucose	fructose	xylose	mannose	cellobiose	maltose	sucrose	citric_acid	fumaric_acid	galacturonic_acid	mannitol	sorbitol	glycerol	proline	cellulose	starch	glucose_c	fructose_c	xylose_c	mannose_c	cellobiose_c	maltose_c	sucrose_c	citric_acid_c	fumaric_acid_c	galacturonic_acid_c	mannitol_c	sorbitol_c	glycerol_c	proline_c	cellulose_c	starch_c
1	D5	41	14	7	b	a	b	c	eight	8	N	Y	Y	Y	Y	N	N	Y	N	N	Y	N	N	N	N	Y	0	0.125	0.125	0.125	0.125	0	0	0.125	0	0	0.125	0	0.125	0	0	0.125
1	D6	42	14	7	c	a	b	c	eight	8	N	Y	Y	Y	Y	N	N	Y	N	N	Y	N	N	N	N	Y	0	0.125	0.125	0.125	0.125	0	0	0.125	0	0	0.125	0	0.125	0	0	0.125
1	D7	43	15	7	a	b	a	a	two	2	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	N	N	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0
1	D8	44	15	7	b	b	a	a	two	2	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	N	N	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0
1	D9	45	15	7	c	b	a	a	two	2	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	N	N	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0
1	D10	46	16	7	a	b	a	a	two	2	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0
1	D11	47	16	7	b	b	a	a	two	2	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0
1	D12	48	16	7	c	b	a	a	two	2	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0
1	E1	49	17	7	a	b	a	b	two	2	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0
1	E2	50	17	7	b	b	a	b	two	2	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0
1	E3	51	17	7	c	b	a	b	two	2	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0
1	E4	52	18	7	a	b	a	b	two	2	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
1	E5	53	18	7	b	b	a	b	two	2	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
1	E6	54	18	7	c	b	a	b	two	2	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
1	E7	55	19	7	a	b	a	a	four	4	N	N	Y	Y	N	N	N	N	N	N	N	Y	Y	N	N	N	0	0	0.25	0.25	0	0	0	0	0	0	0	0.25	0.25	0	0	0
