Plate	Well	medium	dilution_day	rep	OD	tournament	tree	level	how_many	n_C_sources	C1	C2	C3	C4	C5	C6	C7	C8	glucose	fructose	xylose	mannose	cellobiose	maltose	sucrose	citric_acid	fumaric_acid	galacturonic_acid	mannitol	sorbitol	glycerol	proline	cellulose	starch	monosaccharide	disaccaride	organic_acid	alcool	polisaccharide	proline	C_F_G_P
1	D7	15	7	a	0.10165	b	a	a	two	2	glycerol	xylose	NA	NA	NA	NA	NA	NA	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	N	N	Y	N	N	Y	N	N	N
1	D8	15	7	b	0.10145	b	a	a	two	2	glycerol	xylose	NA	NA	NA	NA	NA	NA	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	N	N	Y	N	N	Y	N	N	N
1	D9	15	7	c	0.106600001	b	a	a	two	2	glycerol	xylose	NA	NA	NA	NA	NA	NA	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	N	N	Y	N	N	Y	N	N	N
1	D10	16	7	a	0.103499997	b	a	a	two	2	sorbitol	mannose	NA	NA	NA	NA	NA	NA	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	Y	N	N	N
1	D11	16	7	b	0.102149997	b	a	a	two	2	sorbitol	mannose	NA	NA	NA	NA	NA	NA	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	Y	N	N	N
1	D12	16	7	c	0.102400001	b	a	a	two	2	sorbitol	mannose	NA	NA	NA	NA	NA	NA	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	Y	N	N	N
1	E1	17	7	a	0.108150002	b	a	b	two	2	cellobiose	glucose	NA	NA	NA	NA	NA	NA	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N
1	E2	17	7	b	0.103349999	b	a	b	two	2	cellobiose	glucose	NA	NA	NA	NA	NA	NA	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N
1	E3	17	7	c	0.111199997	b	a	b	two	2	cellobiose	glucose	NA	NA	NA	NA	NA	NA	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N
1	E4	18	7	a	0.07745	b	a	b	two	2	cellulose	fructose	NA	NA	NA	NA	NA	NA	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	Y	N	N
1	E5	18	7	b	0.079349998	b	a	b	two	2	cellulose	fructose	NA	NA	NA	NA	NA	NA	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	Y	N	N
1	E6	18	7	c	0.076500002	b	a	b	two	2	cellulose	fructose	NA	NA	NA	NA	NA	NA	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	Y	N	N
1	E7	19	7	a	0.109299999	b	a	a	four	4	glycerol	xylose	sorbitol	mannose	NA	NA	NA	NA	N	N	Y	Y	N	N	N	N	N	N	N	Y	Y	N	N	N	Y	N	N	Y	N	N	N
