"","Plate","Well","ID","medium","dilution_day","rep","tournament","tree","level","how_many","C_number","glucose","fructose","xylose","mannose","cellobiose","maltose","sucrose","citric_acid","fumaric_acid","galacturonic_acid","mannitol","sorbitol","glycerol","proline","cellulose","starch","glucose_c","fructose_c","xylose_c","mannose_c","cellobiose_c","maltose_c","sucrose_c","citric_acid_c","fumaric_acid_c","galacturonic_acid_c","mannitol_c","sorbitol_c","glycerol_c","proline_c","cellulose_c","starch_c","FC_number","D0","D1","D2","shannon","FaithPD","OD","D0_family","D0_0.1"
"277066_2_sequence.fastq",1,"F6",66,"22",7,"c","b","b","a","two",2,"N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,"2",15,4.45625199191978,3.19857886850037,1.49430805217499,29.8701254015294,0.89500003,7,13
"277067_2_sequence.fastq",1,"F7",67,"23",7,"a","b","b","a","two",2,"N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N",0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,"2",19,2.11727572846598,1.51803923914097,0.750130228577587,7.71129111926132,0.72250001,11,9
"277068_2_sequence.fastq",1,"F8",68,"23",7,"b","b","b","a","two",2,"N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N",0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,"2",18,1.26336502816644,1.08186296602194,0.233778818369917,7.12352936545922,0.73449999,9,5
"277069_2_sequence.fastq",1,"F9",69,"23",7,"c","b","b","a","two",2,"N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N",0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,"2",20,1.16367246970212,1.04525376276428,0.151580926296086,41.4529607112882,0.73850002,9,6
"277070_2_sequence.fastq",1,"F10",70,"24",7,"a","b","b","b","two",2,"N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N",0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,"2",21,3.06204728899466,2.57348497557989,1.11908374094206,7.72655381062003,0.82049999,12,9
"277071_2_sequence.fastq",1,"F11",71,"24",7,"b","b","b","b","two",2,"N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N",0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,"2",12,3.1262248068682,2.3815310035845,1.13982614459848,5.39648016113753,0.85099999,7,9
"277072_2_sequence.fastq",1,"F12",72,"24",7,"c","b","b","b","two",2,"N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N",0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,"2",21,3.14760727232103,2.49686090296984,1.1466425681097,6.70873735961141,0.8185,10,11
"277073_2_sequence.fastq",1,"G1",73,"25",7,"a","b","b","b","two",2,"N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","N","N",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,"2",24,2.92937024360275,2.10373432522024,1.07478746600339,7.89360565841084,0.95449999,13,11
"277074_2_sequence.fastq",1,"G2",74,"25",7,"b","b","b","b","two",2,"N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","N","N",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,"2",25,3.26825992136935,2.48774831763712,1.18425770913773,7.80708859301377,0.94249997,13,10
"277075_2_sequence.fastq",1,"G3",75,"25",7,"c","b","b","b","two",2,"N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","N","N",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,"2",18,2.57154406077349,1.77343204066817,0.944506520355337,7.18654604316061,0.9355,11,9
